Word,appearsInR,In R,appearsInPG,In PG,Difference
fucking,413,80%,110,33%,46%
fuck,438,84%,130,39%,45%
fucked,289,56%,46,14%,42%
fuckin,215,41%,30,9%,32%
asshole,290,56%,102,31%,25%
jesus,433,83%,196,59%,24%
christ,369,71%,156,47%,24%
motherfucker,160,31%,23,7%,24%
bullshit,309,60%,119,36%,24%
fucker,148,29%,20,6%,22%
shit,467,90%,226,68%,22%
cigarette,369,71%,164,49%,22%
joint,232,45%,81,24%,20%
bitch,350,67%,158,48%,20%
pussy,135,26%,23,7%,19%
goddamn,280,54%,116,35%,19%
dick,218,42%,77,23%,19%
toilet,261,50%,108,33%,18%
ass,425,82%,214,64%,17%
murder,255,49%,107,32%,17%
cops,278,54%,123,37%,17%
sexual,170,33%,54,16%,16%
cigarettes,207,40%,78,23%,16%
cop,291,56%,132,40%,16%
couch,324,62%,154,46%,16%
fucks,89,17%,4,1%,16%
dials,284,55%,129,39%,16%
thigh,151,29%,46,14%,15%
drugs,187,36%,70,21%,15%
wallet,237,46%,102,31%,15%
sex,263,51%,119,36%,15%
piss,186,36%,70,21%,15%
tape,323,62%,158,48%,15%
pants,372,72%,190,57%,14%
naked,340,66%,170,51%,14%
keys,358,69%,182,55%,14%
coke,168,32%,61,18%,14%
bills,218,42%,93,28%,14%
ain,327,63%,163,49%,14%
receiver,209,40%,88,27%,14%
cash,289,56%,140,42%,14%
pool,323,62%,162,49%,13%
tub,168,32%,63,19%,13%
drunk,333,64%,169,51%,13%
parking,334,64%,170,51%,13%
magazines,154,30%,55,17%,13%
bullets,238,46%,109,33%,13%
bastard,263,51%,125,38%,13%
bucks,240,46%,111,33%,13%
windshield,251,48%,119,36%,13%
quit,243,47%,114,34%,12%
killer,221,43%,100,30%,12%
whore,136,26%,46,14%,12%
cheap,234,45%,109,33%,12%
towel,259,50%,125,38%,12%
jeans,190,37%,81,24%,12%
detective,154,30%,58,17%,12%
doin,186,36%,79,24%,12%
rubber,206,40%,92,28%,12%
pale,270,52%,133,40%,12%
assholes,115,22%,34,10%,12%
magazine,251,48%,121,36%,12%
involved,243,47%,116,35%,12%
gotta,402,77%,218,66%,12%
driving,427,82%,234,70%,12%
lighter,180,35%,76,23%,12%
sunglasses,169,33%,69,21%,12%
bullet,272,52%,135,41%,12%
trigger,234,45%,111,33%,12%
eases,149,29%,57,17%,12%
bleeding,283,55%,143,43%,11%
ambulance,175,34%,74,22%,11%
stupid,403,78%,220,66%,11%
tits,101,19%,27,8%,11%
clip,163,31%,67,20%,11%
phone,460,89%,257,77%,11%
bodies,313,60%,163,49%,11%
motel,133,26%,48,14%,11%
difference,273,53%,138,42%,11%
bill,282,54%,144,43%,11%
gonna,438,84%,244,73%,11%
moans,158,30%,65,20%,11%
beer,322,62%,170,51%,11%
sunday,165,32%,70,21%,11%
click,260,50%,131,39%,11%
mattress,130,25%,48,14%,11%
panties,108,21%,34,10%,11%
closet,269,52%,137,41%,11%
ya,294,57%,153,46%,11%
badge,149,29%,61,18%,10%
handcuffed,100,19%,30,9%,10%
hood,261,50%,133,40%,10%
scotch,128,25%,48,14%,10%
brain,278,54%,144,43%,10%
parked,370,71%,203,61%,10%
murdered,148,29%,61,18%,10%
prick,137,26%,54,16%,10%
santa,126,24%,47,14%,10%
fumbles,199,38%,94,28%,10%
corpse,177,34%,80,24%,10%
bottles,227,44%,112,34%,10%
stoned,94,18%,27,8%,10%
sheets,258,50%,132,40%,10%
neighborhood,247,48%,125,38%,10%
pills,153,29%,65,20%,10%
backseat,95,18%,28,8%,10%
client,115,22%,41,12%,10%
bathroom,412,79%,231,70%,10%
los,118,23%,43,13%,10%
pissed,254,49%,130,39%,10%
bar,418,81%,235,71%,10%
fuckers,69,13%,12,4%,10%
address,269,52%,140,42%,10%
interrogation,100,19%,32,10%,10%
mostly,261,50%,135,41%,10%
remembered,117,23%,43,13%,10%
stereo,131,25%,52,16%,10%
angeles,109,21%,38,11%,10%
drug,190,37%,90,27%,10%
bloody,315,61%,170,51%,9%
cock,110,21%,39,12%,9%
garage,235,45%,119,36%,9%
hospital,316,61%,171,52%,9%
boots,255,49%,132,40%,9%
cunt,58,11%,6,2%,9%
ran,269,52%,141,42%,9%
thirties,142,27%,60,18%,9%
shotgun,192,37%,92,28%,9%
gunfire,131,25%,53,16%,9%
smoking,356,69%,197,59%,9%
stripped,115,22%,43,13%,9%
cars,401,77%,226,68%,9%
wanna,315,61%,171,52%,9%
gunshot,118,23%,45,14%,9%
faggot,57,11%,6,2%,9%
guy,465,90%,267,80%,9%
nigger,60,12%,8,2%,9%
dope,88,17%,26,8%,9%
shitty,88,17%,26,8%,9%
guys,424,82%,241,73%,9%
listens,380,73%,213,64%,9%
homicide,72,14%,16,5%,9%
york,247,48%,128,39%,9%
nothin,150,29%,66,20%,9%
raped,64,12%,11,3%,9%
clean,425,82%,242,73%,9%
lamp,253,49%,132,40%,9%
balls,278,54%,148,45%,9%
charges,267,51%,141,42%,9%
yellow,331,64%,182,55%,9%
rape,76,15%,19,6%,9%
booth,276,53%,147,44%,9%
breasts,165,32%,76,23%,9%
bury,107,21%,39,12%,9%
skinny,141,27%,61,18%,9%
sucking,141,27%,61,18%,9%
fifteen,330,64%,182,55%,9%
punches,297,57%,161,48%,9%
highway,211,41%,106,32%,9%
barrel,228,44%,117,35%,9%
crotch,117,23%,46,14%,9%
roll,417,80%,238,72%,9%
rests,234,45%,121,36%,9%
holster,126,24%,52,16%,9%
greasy,115,22%,45,14%,9%
jail,204,39%,102,31%,9%
stomach,329,63%,182,55%,9%
dollar,257,50%,136,41%,9%
dollars,310,60%,170,51%,9%
traffic,310,60%,170,51%,9%
earlier,324,62%,179,54%,9%
david,169,33%,80,24%,8%
killing,297,57%,162,49%,8%
grip,286,55%,155,47%,8%
jew,64,12%,13,4%,8%
violence,153,29%,70,21%,8%
yeah,478,92%,278,84%,8%
hollywood,109,21%,42,13%,8%
law,295,57%,161,48%,8%
cocksucker,48,9%,3,1%,8%
aims,201,39%,101,30%,8%
sounded,104,20%,39,12%,8%
ignition,129,25%,55,17%,8%
porno,57,11%,9,3%,8%
remnants,82,16%,25,8%,8%
plaster,107,21%,41,12%,8%
belt,321,62%,178,54%,8%
waitress,174,34%,84,25%,8%
underwear,163,31%,77,23%,8%
thinkin,77,15%,22,7%,8%
unlocks,208,40%,106,32%,8%
comin,122,24%,51,15%,8%
button,358,69%,202,61%,8%
jewish,75,14%,21,6%,8%
apartment,325,63%,181,55%,8%
cadillac,92,18%,32,10%,8%
frank,167,32%,80,24%,8%
slick,131,25%,57,17%,8%
parks,181,35%,89,27%,8%
flesh,231,45%,121,36%,8%
county,145,28%,66,20%,8%
knife,331,64%,185,56%,8%
bothered,98,19%,36,11%,8%
flushes,98,19%,36,11%,8%
shades,123,24%,52,16%,8%
crap,212,41%,109,33%,8%
rearview,115,22%,47,14%,8%
asses,104,20%,40,12%,8%
lincoln,104,20%,40,12%,8%
nope,154,30%,72,22%,8%
drained,96,18%,35,11%,8%
porch,221,43%,115,35%,8%
jerks,249,48%,133,40%,8%
drips,127,24%,55,17%,8%
hotel,277,53%,151,45%,8%
handcuffs,108,21%,43,13%,8%
sweaty,133,26%,59,18%,8%
rubs,283,55%,155,47%,8%
movement,272,52%,148,45%,8%
post,297,57%,164,49%,8%
rolled,186,36%,93,28%,8%
tan,100,19%,38,11%,8%
dumps,189,36%,95,29%,8%
forehead,342,66%,193,58%,8%
muted,95,18%,35,11%,8%
nights,170,33%,83,25%,8%
bloodied,109,21%,44,13%,8%
lawyer,187,36%,94,28%,8%
envelope,237,46%,126,38%,8%
cocaine,68,13%,18,5%,8%
stuffed,182,35%,91,27%,8%
dirty,338,65%,191,58%,8%
bunch,302,58%,168,51%,8%
clicks,266,51%,145,44%,8%
sheet,291,56%,161,48%,8%
basement,180,35%,90,27%,8%
partner,230,44%,122,37%,8%
floors,183,35%,92,28%,8%
unzips,111,21%,46,14%,8%
slightly,408,79%,236,71%,8%
shattered,186,36%,94,28%,8%
department,236,45%,126,38%,8%
motherfuckers,53,10%,9,3%,8%
lookin,128,25%,57,17%,7%
engine,314,61%,176,53%,7%
smokes,156,30%,75,23%,7%
vomit,70,13%,20,6%,7%
talked,281,54%,155,47%,7%
strung,101,19%,40,12%,7%
squad,151,29%,72,22%,7%
crazy,437,84%,255,77%,7%
drain,118,23%,51,15%,7%
finishes,379,73%,218,66%,7%
huh,404,78%,234,70%,7%
headlights,207,40%,108,33%,7%
empties,146,28%,69,21%,7%
raw,146,28%,69,21%,7%
actor,99,19%,39,12%,7%
punk,99,19%,39,12%,7%
cocks,199,38%,103,31%,7%
bruised,152,29%,73,22%,7%
problem,438,84%,256,77%,7%
bird,230,44%,123,37%,7%
forties,119,23%,52,16%,7%
expensive,208,40%,109,33%,7%
cans,172,33%,86,26%,7%
pleasant,161,31%,79,24%,7%
giggles,150,29%,72,22%,7%
prints,114,22%,49,15%,7%
jams,189,36%,97,29%,7%
peter,128,25%,58,17%,7%
whatever,464,89%,273,82%,7%
leg,381,73%,220,66%,7%
concrete,173,33%,87,26%,7%
city,423,82%,247,74%,7%
serial,65,13%,18,5%,7%
hi,387,75%,224,67%,7%
taped,168,32%,84,25%,7%
twisted,185,36%,95,29%,7%
bastards,124,24%,56,17%,7%
bout,174,34%,88,27%,7%
typed,63,12%,17,5%,7%
